dialog,emotion
"['Hi , Bob , this is Mary', 'Hello , Mary , where do you work', 'I work for an Internet company', 'Is the pay good']","[0, 0, 0, 0]"
"['Where will you go in your vacation', ""Oh , I'm hoping to take courses in my vacation"", ""You're so industrious""]","[0, 0, 0]"
"['To be frank , I find philosophy rather boring', ""To tell you the truth , it's the most tedious course I'ever had"", 'How could you manage to pass the exam', 'It is still a mystery to me']","[0, 2, 0, 0]"
"['What can I do for you today', 'I need to return a book', 'Can I do anything else for you', 'I want to check this magazine out', 'We don ’ t allow people to check out magazines', 'Why not', 'It ’ s just a policy of ours', 'So what am I allowed to check out', 'You may check out books or videos', 'I need to check out this magazine', 'You will have to just read it in the library', 'That doesn ’ t make any sense']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]"
"[""Happy Valentine's Day"", ""That's nice of you"", 'Could I treat you to dinner tonight', 'Wonderful']","[4, 4, 4, 4]"
"['What happened to John', 'He quit']","[0, 0]"
"['Professor , I will not be here for our next class meeting', 'Is this absolutely necessary', 'I tried to work something out , but I really do have to miss one class', 'Will you be able to make up the work you missed', ""I'm going to be doing a lot of extra reading"", 'Remember that I will only let you miss one class meeting per semester', 'Yes , I remember', 'Could you e-mail me this week as a reminder', 'Sure , no problem', ""Make good use of that day off ; you'll only have one this semester""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['If you fall in love like him , you will go soft in the head , as well', 'Come off it', 'You want a bet', 'Why not']","[0, 0, 0, 0]"
"['When will you be able to come here', ""I can't come until next week"", ""Okay , I'll have everything prepared for you when you get here"", ""Thanks , I'll see you around Wednesday then""]","[0, 0, 4, 4]"
"['Is it true that rice is the staple food in most of Southeast Asia', ""I'm not an expert , but that's the impression I have"", 'Is rice your staple food , too', ""Needless to say , as a Westerner , it's bread""]","[0, 0, 0, 0]"
"['What a coincidence seeing you here', ""It is , isn't it""]","[6, 0]"
"['What do you think of AC milan and the team of Argentine', ""They aren't evenly matched"", ""Yes , I think AC Milan's foot work is much better on the whole"", 'Yet the Argentine attacker is worth a bet']","[0, 0, 0, 0]"
"['I want to buy a parking permit , please', 'Are you a full-time student or do you attend part-time in the evenings', 'I attend both day and evening classes', 'Will you be riding a motorcycle or do you drive a car', 'I ride a motorcycle', 'That permit will run twenty-five dollars ; will that be cash or credit card', ""I'll use a credit card , thank you"", 'Do you need a second permit for a car', 'No , just the motorcycle permit', 'Fine , here it is and have a great semester']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Wait for me 。  Okay', 'Take your time']","[0, 0]"
"['I don ’ t think I can take another semester of this dorm food', 'I know what you mean , it leaves a lot to be desired', 'Sure , like taste , variety , nutritional value , what I should do is move into an apartment off campus where I can cook for myself', 'Have you found anything yet', 'You know how hard it is to find a decent place at this time of year', 'You should be able to find something comfortable in town , though that would be kind of far from school', 'I got a car , so the distance wouldn ’ t really be a problem', 'But the parking might be', 'You bet']","[2, 2, 2, 0, 0, 0, 0, 0, 0]"
"['Thanks for everything', ""Don't mention it""]","[4, 4]"
"[""I can see you've got some color back in your cheeks"", 'Yes , I find jogging does good to me , so I keep on doing it', ""You've formed a sound habit"", 'I think so , too']","[0, 0, 0, 0]"
"['Do you know what E-commerce is', ""Well , I'm not sure"", 'Maybe it means we can buy something through the Internet', ""That's right  It must be very convenient and pretty quick"", 'Sure , but you must have access to the Internet']","[0, 0, 4, 4, 0]"
"['Have you ever thought of going to Africa', 'No , it might be dangerous there', 'Would you like to go with me', ""I'd like to , but I'm tied up with my paper""]","[0, 0, 0, 0]"
"['He has a long head , I bet he will do well in his business', 'He does , he started five years ago and now ends up the richest among us', 'When we were students , he was no good in any subject', 'It seemed to be useless to study well when we were young if we examine his case']","[0, 0, 0, 0]"
"['Charles , have you finished your homework', ""Not yet , Grandma , What's the matter"", 'I want you to have a walk with me', ""I'll finish soon""]","[0, 0, 4, 4]"
"['Actually I have a passion for Chinese literature', 'You do', 'Yeah , those classics from the great writers', 'But I find Japanese ones better']","[4, 6, 4, 0]"
"['How did you two meet', 'To tell you the truth , it was completely accidental']","[0, 0]"
"['What a beautiful sweater', 'Do you think it looks good on me', 'Yes , and it goes beautifully with your pants', ""You won't believe it , but it was really cheap"", 'I wish I could find one just like it']","[4, 0, 4, 0, 0]"
"[""Let's go for a drink after work"", 'Nothing doing']","[0, 0]"
"['What kind of sport do you often do', 'I go jogging , how about you', ""I used to swim a lot , but now I'm taking gym classes"", ""Oh , that's fantastic""]","[0, 0, 4, 4]"
"[""I can't believe the boss was absent from today's meeting"", 'Neither can I']","[0, 0]"
"['Any chance of using your telephone', 'You ’ Ve been using it for two weeks without paying', 'Well , I thought it was not that serious']","[0, 0, 0]"
"[""Your husband is very helpful , isn't he"", 'Willing to help , maybe , but not as helpful as you think', 'Really', 'Last night he told the children a cliff-hanger story and both of them were scared out of sleep']","[0, 0, 6, 0]"
"['Would you mind going to dinner with me tonight', ""I'd love to go out with you , but I'm sorry I'm busy tonight , but I'd like a rain check"", 'OK']","[0, 0, 0]"
"['Do you like playing table tennis', 'Certainly', 'When did you start it', 'Several years ago']","[0, 0, 0, 0]"
"['Don ’ t you think that ’ s good idea to hold a party outside', 'I don ’ t think so', 'How about going to a concert', 'That ’ s should be fun']","[0, 0, 0, 0]"
"['I lost all my lottery winnings playing the stock market', 'Easy come , easy go']","[5, 0]"
"[""What's a good place for sightseeing"", ""Don't ask me""]","[0, 0]"
"['The government has to face a lot of social problems now', 'I think it is unemployment that gives rise to such social problems', 'But it is very difficult for any government to handle it efficiently', 'You are right']","[0, 0, 0, 0]"
"['Excuse me , could you tell me how much is the ticket', 'It is free on weekend', ""That's great"", 'Here is a guiding plan']","[0, 0, 4, 4]"
"[""I'll need a parking permit for next semester"", 'Do you attend school during the day or only at night', 'I only attend class part-time in the evenings', 'Do you drive a motorcycle or an automobile', 'I have both , but I usually use my car to get to school', 'Great , the price for that permit is thirty dollars ; cash , check , or credit card', ""I'll pay cash"", 'Do you need to buy a duplicate permit for a second vehicle', 'No , thank you', 'OK , here is your permit ; enjoy the next semester']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[""It's said that the government will clamp down on the new policy"", 'Are you sure of that', 'I am not certain about that', 'They may have some difficulty in doing it']","[0, 0, 0, 0]"
"[""I think it's important that all people have the ability to read"", ""I agree with you , but that's easier said than done""]","[0, 0]"
"['When is your vacation going to start', ""I'll be leaving on the fifth of August for the vacation  Oh , that's only a few days from now"", 'How many weeks are you going to be taking', ""I'm taking two weeks now"", 'but I want to save the other week and take it sometime during the winter', 'Where are you going now', 'To the beach  Have you made your hotel reservation yet', ""Oh , I don't need to do that"", ""I'll be staying with friends  You're lucky"", ""It's hard to find a place to stay at the beach in August  Just think , in a few days , I'll be swimming and lying in the sun and just taking it easy""]","[4, 4, 4, 0, 0, 0, 0, 0, 4, 4]"
"[""I don't think I'm getting better"", 'Believe me , you really look much better than before', ""I'm still not sure whether I can recover from it""]","[0, 0, 0]"
"['I often go to a place of leisure', 'Really', 'I very much like to go to a cafe and doze in the afternoon sunshine', 'Sounds great', 'The coffee , books , music and sunshine are just beautiful there', 'How nice', 'I may take you there some day', 'Good']","[4, 6, 4, 4, 4, 4, 4, 4]"
"[""What do you think of when you're praying"", ""I try to picture the Lord's face in my mind"", 'Does that help you faith', 'Yes']","[0, 0, 0, 0]"
"['It seems like it rains every time we plan a picnic', ""Well , that's life""]","[0, 0]"
"['Thanks for the loan', 'Think nothing of it']","[4, 4]"
"[""You'll have to take a make-up exam in logic"", 'Oh , I thought I did a good job', 'Sorry to say you failed', 'Anyway , I have to face the music this time']","[0, 0, 0, 0]"
"['Which is your preference , tea or coffee', 'My choice would always be tea', 'When did you form this hobby', 'Last year when I visited China']","[0, 0, 0, 0]"
"['What do you do', ""I'm a teacher""]","[0, 0]"
"['How much do you make a month', 'Mind your own business']","[0, 0]"
"['May I help you with something', 'I would like to return these books', 'What happened to this book', 'I dropped it , and the cover tore off', 'I ’ m going to have to charge you for the damage', 'How much', 'It ’ s only $ 5', 'That ’ s not too bad', 'I know it ’ s not', 'Here ’ s the money for the book', 'Thank you for your payment', 'You are very welcome']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['He is penny wise and pound-foolish', 'Why do you say so', 'The trash of the world he sets high price upon , but the heavenly things he shamefully undervalues', 'Maybe all of us are the same']","[0, 0, 0, 0]"
"['How do you like other films starring Charlie Chaplin', ""Well , I like others very much , but I really don't think much of this one"", ""You don't like the performance , do you"", ""Yes , but I don't like the story""]","[0, 0, 0, 0]"
"['How may I help you', 'I couldn ’ t find the book I was looking for', 'Have you checked the database', 'I checked', 'Was it on the shelf', 'It should have been , but it wasn ’ t', 'Maybe someone took it', 'Will you be getting another copy anytime soon', 'I ’ m sure we will', 'Would you be able to reserve it for me', 'I sure will', 'Thank you very much']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]"
"[""You are blue in the face , arn't you"", ""The cat has eaten my fish , I'll kill it"", 'But supposing your son killed like the fish , what do you think then', ""I'll beat him"", ""So beat the cat , but don't kill it""]","[0, 1, 0, 1, 0]"
"['You ’ re all set now', 'Oh , thank you so much', 'Really , it was nothing', 'I really appreciated it', 'I was happy to help', 'It was so kind of you', 'Don ’ t mention it', 'You ’ re a real friend in need']","[4, 4, 4, 4, 4, 4, 4, 4]"
"[""Let's get together this weekend"", 'Sounds good']","[4, 4]"
"['Can you lend me your car', ""Nothing ' doing""]","[0, 0]"
"['You ’ re all set now', 'Oh , thank you so much', 'Really , it was nothing', 'I really appreciated it', 'I was happy to help', 'It was so kind of you', 'Don ’ t mention it', 'You ’ re a real friend in need']","[4, 4, 4, 4, 4, 4, 4, 4]"
"[""I'm tired of this job"", 'So am I']","[2, 2]"
"['How nice it is here  You can say that again', 'The sunny shining and there ’ s pleasant raise', 'it ’ s so lovely  I ’ Ve heard the whether here is ideal , just like spring most of the year  That ’ s correct', 'we have four seasons of spring']","[4, 4, 4, 4]"
"['What is the matter with him', ""I don't know , what's wrong"", 'I feel he is as cold as charity to me', 'Maybe you should ask him openly']","[0, 0, 0, 0]"
"['I find Beijing Opera is quite a bore', 'Young people enjoy pop songs more', ""It's just like listening to a language which you know nothing at all"", ""But you don't have such a problem as to pop songs""]","[2, 0, 2, 0]"
"['How was the movie last night', ""I didn't really like it"", 'Mary said that she was really pleased with the photography', 'I found it very disappointing', ""She liked the acting , too , because that's what she wanted to see"", ""I wasn't happy with it"", 'Nothing is to your satisfaction']","[0, 2, 0, 2, 0, 2, 0]"
"[""Didn't Joe feel it a shame to live on his parents since he has graduated from college"", 'He has no sense', ""If I were him , I wouldn'tbrazen it outby asking my parents for money"", ""But Joe won't you""]","[0, 0, 0, 0]"
"['Is this your new teacher', 'Yes , it is', 'Is she short', 'No , she ’ s average', 'What color are her eyes', 'They ’ re dark gray', 'What color is her hair', 'It ’ s blond', 'And how old is she', 'I don ’ t know']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Is your father in the habit of having naps', 'Yes , all of us have naps', ""Don't you feel dizzy when you have to get up"", 'No , not at all']","[0, 0, 0, 0]"
"['I plan to buy a car this year', 'How do you pay for it', ""I'm going to work in holidays and pay by installments"", 'Tell me if you need help']","[0, 0, 0, 0]"
"['Ted is so scared by dogs that he shakes in his shoes whenever he sees one', 'The reason is that he once was bitten by a dog', 'No wonder']","[0, 0, 0]"
"[""How's it going"", 'Great']","[0, 4]"
"['How should I dress for the party', 'Dress casually']","[0, 0]"
"['Is the lake very polluted', ""Well , I wouldn't swim in it - but the water is much cleaner than it was a few years ago"", 'Are local factories allowed to discharge waste water into the lake', 'Yes , but it must be treated in an effluent treatment plant first']","[0, 0, 0, 0]"
"['Smith is always careless , it is his Achilles ’ s heel', 'He would get very angry if anyone criticized him', 'He will burn his fingers', 'If only he knew it']","[0, 0, 0, 0]"
"['Tom did me many favors', 'For example']","[4, 0]"
"['Her ex-boyfriend was terrible , but this new one is even worse', 'Out of the frying pan and into the fire']","[0, 0]"
"['The man behind your mother must be your elder brother', 'Yes , he was 29 then', 'He looked his age']","[0, 0, 0]"
"['What did you say', 'Are you deaf or what']","[0, 0]"
"[""Who's your favorite singer"", 'Coco Lee']","[0, 0]"
"['What are you doing this weekend', ""I don't have any plans""]","[0, 0]"
"['Our national economy is increasing hand over fist', 'That ’ s really a good phenomenon to see', 'I hope it ’ ll continue for a long time']","[0, 4, 0]"
"['Do you live with your parents', 'No , they live in Shanghai , my hometown', 'How often do you go back to visit them', 'Once a year']","[0, 0, 0, 0]"
"['Do I have to take these books here if I want to renew them', 'You can renew the books over the computer', ""That's so convenient""]","[0, 0, 4]"
"['Be quiet , Will you', ""I'm sorry""]","[0, 0]"
"['I have to miss school next week', ""Isn't there some way you could work your schedule out to be here"", 'Unfortunately , this is what I have to do', 'How are you going to catch up', ""I've got it all covered"", 'If you miss this class , you will have used up your quota for the semester', ""Don't worry , this will be the last class I miss"", 'Make sure to remind me right before you are absent', ""I'll remember"", ""Enjoy your day off and don't forget to study""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[""I'm tired of dancing"", ""But to me it's really enjoyable"", ""Maybe it's because you always have pretty girls as your partners"", 'Maybe so']","[0, 4, 0, 4]"
"[""It's too hot to read"", ""We'd better go out for a walk"", 'Which season do you like best', 'Spring', 'How about summer', 'I dislike it most', 'Why', 'Because the hottest season is summer in a year', 'But sometimes summer is more charming than the other seasons']","[0, 0, 0, 0, 0, 2, 0, 0, 0]"
"['Where did you go yesterday', 'I went to Croydon', 'Did you go shopping', 'No , I went for an interview', 'Oh , did you get a job', 'Yes , I got a job as a Management Trainee', 'Fantastic']","[0, 0, 0, 0, 0, 4, 4]"
"[""Don't you think we ' d leave for the concert now"", 'What time dose it start', 'In about 25 minutes', ""Then we'd better get started""]","[0, 0, 0, 0]"
"['Do you mind if I come over to use your computer', 'No , but I have to type my paper tonight', ""Does that mean I can't use it tonight"", 'You got it']","[0, 0, 0, 4]"
"[""I hear you're going to Tainan to visit your uncle"", ""That's correct"", 'Well , say hello to him for me']","[0, 0, 0]"
"['What would you reckon the taxing increases', 'Well , the state will benefit a lot , I suppose', 'But what do most people think about it', 'Ah , it ’ s hard to say']","[0, 0, 0, 0]"
"['Do you like playing tennis', ""I don't find it very exciting"", ""Maybe you haven't found the magic"", ""I can't wait""]","[0, 0, 0, 4]"
"[""You've met her before , haven't you"", ""I don't recall""]","[0, 0]"
"['How do you like other films starring Charlie Chaplin', ""Well , I like others very much , but I really don't think much of this one"", ""You don't like the performance , do you"", ""Yes , but I don't like the story""]","[0, 0, 0, 0]"
"[""You're acting weird tonight"", ""I'm just in the mood to act goofy"", 'What brought this on', ""I guess I'm glad exams are over""]","[0, 4, 0, 4]"
"['Bob , put on your shoes , your feet are really smelly', 'No foot gives out scent', ""But don't forget you are in a cafe"", 'Never mind , the odour of my feet will quicken their eating speed', ""I simply can't bear your barbaric behavior"", 'Don ’ t pretend you are a good God', 'You should feel shameful for your behavior', ""I've never experienced such a kind of feeling"", ""I'm really sick of you""]","[0, 0, 0, 0, 1, 0, 1, 0, 2]"
"['The boss is mad at you', 'Who cares']","[0, 0]"
"['Bob , what are you thinking about', ""I'm looking forward to going to America"", 'When do you go', 'Next week']","[0, 4, 0, 4]"
"[""I'm going to America"", ""Any idea when you'll leave"", 'I hope before the end of the month', 'Let me know when you find out']","[0, 0, 0, 0]"
"['Who is Cindy ’ s husband', 'Cindy ’ s husband is Ron', 'How many children do Cindy and Ron have', 'They have two children-one son and one daughter-as well as one daughter-in-law and one son-in-law', 'Do they have any grandchildren', 'Yes , they have three grandchildren-one girl and two boys', 'Does their daughters get along well with her in-laws', 'Yes , she gets along with them quite well', 'Do they have a large family', 'Their family is very similar to Cindy and Ron ’ s family']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['What do you think of doctor Thompson', ""I feel confident of his ability to cure my daughter's disease"", 'How can you be so sure', 'I can tell from the way he spoke to us', 'Never believe his words']","[0, 0, 0, 0, 0]"
"[""It's awfully hot"", 'You can say that again']","[0, 0]"
"['It seems a glorious day today', 'I agree', ""It's beginning to spot"", 'Just now we both thought it would be fine']","[4, 0, 0, 0]"
"[""I don't think I'm getting better"", 'Believe me , you really look much better than before', ""I'm still not sure whether I can recover from it""]","[0, 0, 0]"
"[""I've got to go home and study"", 'For what', 'The test tomorrow', ""If you don't know it by now , you might as well not bother studying""]","[0, 0, 0, 0]"
"['What is the correct time , please', 'It ’ s exactly twelve minutes past seven', 'When will you lecture begin', 'Begin at 9 o ’ clock sharp']","[0, 0, 0, 0]"
"['Excuse me', 'would you lend me some wreckers  Until when', 'Until Monday or Tuesday next week', 'No problem']","[0, 0, 0, 4]"
"['This historian is famous in the field of Tang Dynasty', 'So he always sits above the salt when there is a seminar about it', 'Right , to be famous to be respectable in some way', 'You got it']","[0, 0, 0, 0]"
"['He has lots of hobbies', 'And he ’ s always busy with his pictures and roses', 'He ’ s won a dozen prizes for his pictures and roses', 'But as for his business in the city', 'He lets his cousins look after his business', 'He sounds more like an artist than a businessman']","[0, 0, 0, 0, 0, 0]"
"[""We'd better leave now"", 'I beg your pardon']","[0, 0]"
"[""I'd like to reserve two seats for tomorrow night"", 'Would you like orchestra seats', ""Isn't there anything less expensive"", 'Not unless you want the matinee']","[0, 0, 0, 0]"
"[""Bob refused all his classmates ' invitation"", ""I really couldn't understand him"", 'He is surely a hard nut , nobody likes approaching him', ""We'd better leave him alone""]","[0, 0, 0, 0]"
"['What food do you fancy', 'I feel like something good to eat', ""How about going to Joe's Restaurant"", 'Hey , that sounds a good idea']","[0, 0, 4, 4]"
"[""Bob refused all his classmates ' invitations"", ""I really couldn't understand him"", 'He is surely a hard nut , nobody likes approaching him', ""We'd better also leave him alone""]","[0, 0, 0, 0]"
"['Hey , Paul , why the long face', ""It's difficult to explain"", 'Try me', ""Well , I had a terrible day of work , I'm thinking of quiting my job"", 'Take it easy , maybe tomorrow will be different', ""I don't know , I can't stand my job these days"", ""Cheer up , I hope you'll feel better soon""]","[0, 0, 0, 5, 0, 5, 0]"
"['Where are you planning on transferring to', 'I can ’ t seem to make a decision', 'Where do you want to go', 'I honestly have no idea', 'You haven ’ t thought about it', 'I like it here at PCC', 'Why don ’ t you just continue going to PCC', 'I like that idea', 'It ’ s a great school', 'I completely agree', 'So , have you made your decision yet', 'I ’ m staying right where I ’ m at']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Which university did you graduate from', 'I graduated from Songhua University', 'When did you graduate', 'I graduated from it in 2002']","[0, 0, 0, 0]"
"[""All of my friends are going out to the lake tonight and I'm going too"", 'Over my dead body you are']","[0, 0]"
"['What do you plan to do on Sunday morning', 'Nothing special', 'How about going to English corner with me', ""Oh , I'd rather not"", 'Why not', 'You know , I am poor at English , especially spoken English', ""That's why you should go there , If you don't dare to speak English owing to the fact that you are afraid of making mistakes , you simply will never learn English""]","[0, 0, 0, 0, 0, 0, 0]"
"['They must be your parents , what do they do', 'My mother is a professor and my father is a manager', 'Do they often take you out', ""No , usually they're very busy""]","[0, 0, 0, 0]"
"['Have a nice weekend', 'Same to you']","[0, 0]"
"['It seems to be clearing up', ""It's such a nice change"", ""I really don't think this weather will last"", ""Let's just hope it doesn't get cold again""]","[0, 0, 0, 0]"
"['Your father looks much younger in the picture', 'He was 20 years old then', 'How old is he now', ""He's over sixty""]","[0, 0, 0, 0]"
"['Hi , Tim , any news about your job interview', ""Yeah , I didn't get the job in the end"", 'Oh , what a pity', ""It's ok , that's life""]","[0, 0, 0, 0]"
"['Every teacher likes him', 'They say he can sum up like winking', 'How he manages to do that is always a mystery to me', ""Maybe he's gifted in that""]","[4, 4, 0, 0]"
"['I ’ m terribly sorry to cause you so much trouble', 'That ’ s alright']","[0, 0]"
"[""It's one of the highlights of the match"", 'What', 'The wonderful passing Melaena did', 'Too bad I missed it']","[0, 0, 0, 0]"
"['What brings you to Beijing', ""I'm here on business""]","[0, 0]"
"['Do you mind helping me', 'What can I help you with', ""I'm not sure how to find my next class"", ""Do you know what building that it's in"", 'The C building , I think', ""Well , that's not far away"", 'Could you point me in that direction', 'Do you know what the room number is', ""It's C261"", 'My next class is around there', 'Can you show it to me', ""Sure , let's go""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Lodge , You must come around sometime , You have to check out my mew stereo', 'Sure , When is good time for you', 'Can you make it on Tuesday', 'What time do you want me there', 'Anytime after six will be fine', ""All right , It's a date""]","[0, 0, 0, 0, 0, 0]"
"['How long have you been living in New York', 'Oh , about two years now', 'Where do your parents live', 'They still live in Shanghai where I was born', 'Do you write or call them very much', 'Yes , I try to keep in touch with them']","[0, 0, 0, 0, 0, 0]"
"[""I don't dare ask Jane for a date"", ""You've got no guts""]","[0, 0]"
"['Do you like traveling', ""Yes , I've just come back from Scotland"", 'Where did you visit', 'I only had time to visit Edinburgh', 'How did you like it', ""It's fantastic"", 'Why did you go there', 'I went there on business', 'And do you have friends there', 'Yes , a lot of friends', 'You must have enjoyed yourself', 'Yes , and I look many pictures']","[0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 4, 4]"
"[""I always think everybody looks down on me  Don't be that negative"", 'How can you be optimistic', 'You can see it in their eyes', 'I find it there is no meaning in living this world', ""Don't be that negative"", 'Really , life is so boring']","[0, 0, 0, 0, 0, 0]"
"['I love that vase', 'Do you really like it', 'Yes , it looks perfect', ""It wasn't very expensive either"", ""That's amazing""]","[4, 0, 4, 0, 6]"
"['When he told me I had to work overtime , that was it', 'The last straw , huh', ""Yes , he's really pushed me too far"", 'I know what you mean']","[5, 0, 5, 0]"
"[""What's your major in college"", 'I take architecture as my major', 'What research are you dealing with now', 'I am dealing with the study of the architecture style of ancient Chinese buildings']","[0, 0, 0, 0]"
"['Would you like to go to a concert with me', ""I'd love to""]","[0, 0]"
"[""What's Beijing like"", 'It ’ s big and exciting but noisy', 'What can I see in Beijing', 'You can see the Forbidden City', 'What ’ s it like', 'It ’ s beautiful but crowded']","[0, 0, 0, 0, 0, 0]"
"['How was my singing', 'Not bad at all']","[0, 0]"
"[""We'll get a big bonus this year , won't we"", ""Don't count on it""]","[0, 0]"
"['Do you mind if I borrow the notes from last week', 'Were you here last week', 'I was unable to make it', 'How come', ""I was sick that day , and couldn't make it"", 'Well , here are the notes', 'Are there any more', 'Sorry , here you go', 'Thanks a lot', 'No problem']","[0, 0, 0, 0, 0, 0, 0, 0, 4, 4]"
"['Do you have the time', ""It's ten thirty""]","[0, 0]"
"['Show us our itineraries , please', ""We'll first go to Mount Tai , then we'll go to Sichuan by air , after that we'll be leaving for Tibet"", 'How long will the trip take', 'At least 20 days']","[0, 0, 0, 0]"
"['I really want to switch things up', 'What were you thinking', 'I think I want to try a new style', 'What would you like me to do', 'I want you to cut my hair shorter', 'How short', 'I want my hair to be only a few inches long', 'Do you really want it that short', ""Yes , I've been wanting it short for a while now"", ""If you really want me to , then I'll do it"", ""I'm absolutely sure that this is what I want"", ""Let's do it""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Are you getting overtime', ""Yes , but it's not so appetizing"", 'Have you thought about another job', ""That's what's hanging on my mind recently""]","[0, 0, 0, 0]"
"[""Mike's really angry"", 'I wonder Why']","[0, 0]"
"['Do you keep any pets , such as cats , dogs', ""No , I'm scared of cats"", 'Oh , but why', ""I feel they're dirty""]","[0, 0, 6, 0]"
"['Can I borrow some money from you', 'No way']","[0, 0]"
"['How do your spend your time after work or in vacation', 'In my spare time , I am fond of traveling and I always take a trip with my family', ""But traveling is an expensive hobby , isn't it"", 'You are deadly right']","[0, 4, 0, 0]"
"['How many languages can you speak', 'I can speak French and German', 'How well can you speak them', ""I can speak German quite well , but I can't speak French very well"", 'Can you help me to translate these sentences into German now', ""No , but I'll be able to tomorrow""]","[0, 0, 0, 0, 0, 0]"
"['We scored six goals', ""I don't believe it"", 'And I score three of them', 'You are not serious', 'We had extra time of course', 'I can believe that']","[0, 6, 0, 6, 0, 0]"
"['Do you want to try your hand at tennis', 'Certainly I do', ""It seems you're very fond of it"", ""I'd be happy to do something new""]","[4, 4, 4, 4]"
"['Tell me why you saw the movie twice', ""I think it's the most successful film in scene-setting and music"", 'You bet it']","[0, 0, 0]"
"['You are not being a good sport about this', ""That's because you cheated"", 'I never cheat', 'Yes , you do']","[0, 0, 0, 0]"
"[""I'm sorry , but I can't go"", 'Why not', 'I have to see my daughter', 'When poyou have to see her', 'I have an appointment at one fifteen']","[0, 0, 0, 0, 0]"
"['Time flies', ""You're telling me""]","[0, 0]"
"[""Hello Bill , what's new"", 'Bob and Mary are back together', ""I'm glad to hear it"", ""Me too , they're such a nice couple""]","[4, 4, 4, 4]"
"[""We're going dancing tonight"", 'Count me out']","[4, 4]"
"['When shooting a gun , accuracy is very important', 'You only need to tell me that once']","[0, 0]"
"['We have a live show of a football match this Friday night', ""What're the teams"", 'Brazilian against AC Millan', 'I bet AC Milan will lose']","[0, 0, 0, 0]"
"['You ’ re all set now', 'Oh , thank you so much', 'Really , it was nothing', 'I really appreciated it', 'I was happy to help', 'It was so kind of you', 'Don ’ t mention it', 'You ’ re a real friend in need']","[0, 4, 4, 4, 4, 4, 4, 4]"
"['I hear you have just shown your hand first to Lin Ping', 'Yes', ""If I were in your position , I wouldn't give up an inch"", ""I regret to say I can't accept your suggestion""]","[0, 0, 0, 0]"
"[""I don't want to do the damn dishes"", ""Watch your language or you'll be spending the weekend in your room""]","[0, 0]"
"['What do you think of shopping', ""I don't mind shopping for food and other daily needs"", 'What do you think of big department store', ""It's fun walking around them , but their displays are so good I'm tempted to buy things I don't really need""]","[0, 0, 0, 0]"
"[""It's too hot to read"", ""We'd better go out for a walk"", 'Which season do you like best', 'Spring', 'How about summer', 'I dislike it most', 'Why', 'Because the hottest season is summer in a year', 'But sometimes summer is more charming than the other seasons']","[0, 0, 0, 0, 0, 2, 0, 0, 0]"
"['Will you be at the family reunion next year', ""Yes , we'll be there , come hell or high water""]","[0, 0]"
"['Well , speak of the devil', 'What do you mean', 'I was just thinking about you the other day', 'You were']","[0, 0, 0, 0]"
"['Are you sure you heard right', 'Yes , he is running for class president', ""I don't believe you"", 'Take my word for it']","[0, 0, 0, 0]"
"['I plan to buy a car this year', 'How do you pay for it', ""I'm going to work in holidays and pay by installments"", 'Tell me if you need help']","[0, 0, 0, 0]"
"[""I don't think the lecture is very interesting"", 'The lecturer is dull , too', ""I feel he's like a talking machine"", 'I feel the same way']","[0, 0, 0, 0]"
"['He has to deliver letters every day', 'Poor man , he must be terribly fed up with it', 'Oh , no , he likes the job', 'Oh , Really']","[0, 0, 0, 6]"
"['Lisa , I am told you did very well in your exam', 'I was the only one who got a strait A in my class', 'Congratulations on your success', 'Thank you']","[4, 4, 4, 4]"
"['I hear that Tom got divorced , and I don ’ t know how he is now', 'Out of sight , out of mind', 'Who do you mean', 'Don ’ t you know they have had little affection for each other']","[0, 0, 0, 0]"
"['They are professors and government officials', 'Where are they from', 'Most of them are from America and Europe', 'What are they doing in Beijing', 'They are attending an international conference here', 'Which hotel are they staying at', 'They are staying at the Hilton Hotel']","[0, 0, 0, 0, 0, 0, 0]"
"['Did you see that', 'No , I missed it', 'How could you miss that', 'Someone was in the way']","[0, 0, 0, 0]"
"['What did the doctor say', 'He said that I have been eating too much', 'Did he give you any advice', 'Yes , he asked me to clean up my diet by cutting red meat', 'Yes , you must put yourself on a diet']","[0, 0, 0, 0, 0]"
